Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Cleaning surfaces (product.metafields.shopify.cleaning-surfaces),Color (product.metafields.shopify.color-pattern),Dispenser type (product.metafields.shopify.dispenser-type),Fabric (product.metafields.shopify.fabric),Item style (product.metafields.shopify.item-style),Neckline (product.metafields.shopify.neckline),Personalization design (product.metafields.shopify.personalization-design),Size (product.metafields.shopify.size),Theme (product.metafields.shopify.theme),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
happy-pride,Happy Pride,"<p><meta charset=""utf-8"">This is a revival of the Swathanthra matchbox from Vilathikulam - once lit for a new India. Now waving a different flag, for the freedoms still left to win.</p>
<!-- Accordion Sections -->
<div class=""product-accordion"">
<details>
<summary><strong>Materials</strong></summary>
<ul>
<li>Ivory-finished wood</li>
<li>Safety matches</li>
<li>Striking surface</li>
</ul>
</details>
<details open="""">
<summary><strong>Specifications</strong></summary>
<ul>
<li>Dual magnetic closures on both sides</li>
<li>Dimensions: 68mm × 48mm × 22mm</li>
<li>Includes two spare striker sheet</li>
</ul>
</details>
<details>
<summary><strong>Shipping</strong></summary>
<ul>
<li>Domestic delivery: 4–5 days after dispatch</li>
<li>International delivery: 15–20 days</li>
</ul>
<p><strong>Note for international orders:</strong> We can’t ship flammable materials across borders, so matchsticks won’t be included. You can refill with any regular-size matchsticks found at most local stores.</p>
</details>
<details>
<summary><strong>Care &amp; Safety</strong></summary>
<ul>
<li>Store at room temperature (20–25°C) - wood expands and contracts with humidity</li>
<li>Refill with any regular-size matchsticks once used up</li>
<li>Replace striker sheet when worn - peel and paste to reuse<br>
</li>
<li>Burn within sight. Keep away from combustibles, children, and pets</li>
</ul>
</details>
</div>",Maachis,Home & Garden,"","Handmade, Indian Matchboxes, Maachis, Vintage",true,Title,Default Title,,,,,,,,"",33.0,,-28,deny,manual,999.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0852/6096/0021/files/PrideFront1.png?v=1759232851,1,"",false,,,,,,,,,,,,,,,,beige; red,,,,,,,,,g,,,active
happy-pride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/PrideBack.png?v=1759232851,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
happy-pride-1,Happy Pride Postcard,"<p>This is a revival of the Swathanthra matchbox from Vilathikulam - once lit for a new India. Now waving a different flag, for the freedoms still left to win.</p>
<p><!-- Accordion Sections --></p>
<div class=""product-accordion"">
<details open="""">
<summary><strong>Materials</strong></summary>
<ul>
<li>Textured Paper</li>
<li>RSW 270 GSM</li>
</ul>
</details>
<details open="""">
<summary><strong>Specifications</strong></summary>
<ul>
<li>Size: 5.5 x 4 inches</li>
</ul>
</details>
<details open="""">
<summary><strong>Shipping</strong></summary>
<ul>
<li>Domestic delivery: 4–5 days after dispatch</li>
<li>International delivery: 15–20 days</li>
</ul>
</details>
</div>",Maachis,Office Supplies > General Office Supplies > Paper Products > Post Cards,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,250.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/3.jpg?v=1759916982,1,"",false,,,3871,,,,,,,,,,,,,multicolor,,,retro-vintage; colorful; novelty,,printed,,art,,g,,,active
joint-venture,Joint Venture,"<p><meta charset=""utf-8""><meta charset=""utf-8"">Reigniting the classic Joker matchbox. <br>Two friends, one matchbox. Nothing certain, everything open. <br>Because not everything worth building starts with a plan.<br></p>
<!-- Accordion Sections -->
<div class=""product-accordion"">
<details>
<summary><strong>Materials</strong></summary>
<ul>
<li>Ivory-finished wood</li>
<li>Safety matches</li>
<li>Striking surface</li>
</ul>
</details>
<details>
<summary><strong>Specifications</strong></summary>
<ul>
<li>Dual magnetic closures on both sides</li>
<li>Dimensions: 68mm × 48mm × 22mm</li>
<li>Includes two spare striker sheet</li>
</ul>
</details>
<details>
<summary><strong>Shipping</strong></summary>
<ul>
<li>Domestic delivery: 4–5 days after dispatch</li>
<li>International delivery: 15–20 days</li>
</ul>
<p><strong>Note for international orders:</strong> We can’t ship flammable materials across borders, so matchsticks won’t be included. You can refill with any regular-size matchsticks found at most local stores.</p>
</details>
<details>
<summary><strong>Care &amp; Safety</strong></summary>
<ul>
<li>Store at room temperature (20–25°C) - wood expands and contracts with humidity</li>
<li>Refill with any regular-size matchsticks once used up</li>
<li>Replace striker sheet when worn - peel and paste to reuse</li>
<li>Burn within sight. Keep away from combustibles, children, and pets</li>
</ul>
</details>
</div>",Maachis,Home & Garden > Household Supplies,"","Handmade, Indian Matchboxes, Maachis, Vintage",true,Title,Default Title,,,,,,,,,33.0,,-9,continue,manual,999.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/JointVenture-Front.png?v=1756898163,1,"",false,,,,,,,,,,,,,,,,beige; red,,,,,,,,,g,,,active
joint-venture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/JointVenture-Back.png?v=1756898163,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
make-art-not-war-matchbox,Make Art Not War,"<p><meta charset=""utf-8""><meta charset=""utf-8"">In a world fractured by war, Ravi Varma's timeless masterpiece is reimagined as a bold declaration: Make Art, Not War — a testament to peace and creative defiance against conflict.</p>
<!-- Accordion Sections -->
<div class=""product-accordion"">

<details>
<summary><strong>Materials</strong></summary>
<ul>
<li>Ivory-finished wood</li>
<li>Safety matches</li>
<li>Striking surface</li>
</ul>
</details>
<details open="""">
<summary><strong>Specifications</strong></summary>
<ul>
<li>Dual magnetic closures on both sides</li>
<li>Dimensions: 68mm × 48mm × 22mm</li>
<li>Includes two spare striker sheet</li>
</ul>
</details>
<details>
<summary><strong>Shipping</strong></summary>
<ul>
<li>Domestic delivery: 4–5 days after dispatch</li>
<li>International delivery: 15–20 days</li>
</ul>
<p><strong>Note for international orders:</strong> We can’t ship flammable materials across borders, so matchsticks won’t be included. You can refill with any regular-size matchsticks found at most local stores.</p>
</details>
<details>
<summary><strong>Care &amp; Safety</strong></summary>
<ul>
<li>Store at room temperature (20–25°C) - wood expands and contracts with humidity</li>
<li>Refill with any regular-size matchsticks once used up</li>
<li>Replace striker sheet when worn - peel and paste to reuse<br>
</li>
<li>Burn within sight. Keep away from combustibles, children, and pets</li>
</ul>
</details>
</div>",Maachis,Home & Garden > Household Supplies,Matchboxes,"Handmade, Indian Matchboxes, Maachis, Vintage",true,Title,Default Title,,,,,,,,"",33.0,,-16,deny,manual,999.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Makeartnotwar-front.png?v=1759232908,1,"",false,,,630,,,,,,,,,,,,,,,,,,,,,,g,,,active
make-art-not-war-matchbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Makeartnotwar-back.png?v=1759232908,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
make-art-not-war,Make Art Not War Postcard,"<p>In a world fractured by war, Ravi Varma's timeless masterpiece is reimagined as a bold declaration: Make Art, Not War — a testament to peace and creative defiance against conflict.</p>
<p><!-- Accordion Sections --></p>
<div class=""product-accordion"">
<details open="""">
<summary><strong>Materials</strong></summary>
<ul>
<li>Textured Paper</li>
<li>RSW 270 GSM</li>
</ul>
</details>
<details open="""">
<summary><strong>Specifications</strong></summary>
<ul>
<li>Size: 5.5 x 4 inches</li>
</ul>
</details>
<details open="""">
<summary><strong>Shipping</strong></summary>
<ul>
<li>Domestic delivery: 4–5 days after dispatch</li>
<li>International delivery: 15–20 days</li>
</ul>
</details>
</div>",Maachis,Office Supplies > General Office Supplies > Paper Products > Post Cards,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,250.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/9.jpg?v=1759916983,1,"",false,,,3871,,,,,,,,,,,,,multicolor,,,retro-vintage; colorful; novelty,,printed,,art,,g,,,active
make-art-not-war-tshirt,Make Art Not War Tee,"<p><meta charset=""utf-8""><strong>In a world fractured by war, Ravi Varma's timeless masterpiece is reimagined as a bold declaration: Make Art, Not War — a testament to peace and creative defiance against conflict.</strong></p>
<p><span><meta charset=""utf-8""> <strong><strong data-end=""226"" data-start=""214"">Product Details:</strong><br data-end=""229"" data-start=""226""></strong>– Unisex oversized fit<br data-end=""254"" data-start=""251"">– 240 GSM<br data-end=""266"" data-start=""263"">– 100% cotton<br data-is-only-node="""" data-end=""282"" data-start=""279"">– Front brand patch &amp; back DTG print</span></p>",Maachis,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Tshirts,"Indian Matchboxes, Maachis, Vintage",true,Color,black,product.metafields.shopify.color-pattern,Size,s,product.metafields.shopify.size,,,,"",200.0,shopify,0,deny,manual,1499.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0852/6096/0021/files/10_f94a6979-6c0b-454d-b08d-abea2a3f35fe.png?v=1745414701,1,"",false,,,,,,,,,,,,,,,,black,,,,crew,,s; m; l,,,g,,,active
make-art-not-war-tshirt,,,,,,,,,black,,,m,,,,,"",200.0,shopify,0,deny,manual,1499.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0852/6096/0021/files/9_ac57903a-94e3-4941-8ed7-9f93aaab6304.png?v=1745414701,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
make-art-not-war-tshirt,,,,,,,,,black,,,l,,,,,"",200.0,shopify,0,deny,manual,1499.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Size-chart-website.png?v=1745558969,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
makeindiademocraticagain,Make India Democratic Again,"<p><meta charset=""utf-8""><meta charset=""utf-8""><span></span><span></span><span>Democracy doesn’t die overnight - it fades in silence.  This match reminds us to protect what was hard-won.  India must remian for the people, by the people, and of the people</span></p>
<!-- Accordion Sections -->
<div class=""product-accordion"">
<details>
<summary><strong>Materials</strong></summary>
<ul>
<li>Ivory-finished wood</li>
<li>Safety matches</li>
<li>Striking surface</li>
</ul>
</details>
<details>
<summary><strong>Specifications</strong></summary>
<ul>
<li>Dual magnetic closures on both sides</li>
<li>Dimensions: 68mm × 48mm × 22mm</li>
<li>Includes two spare striker sheet</li>
</ul>
</details>
<details>
<summary><strong>Shipping</strong></summary>
<ul>
<li>Domestic delivery: 4–5 days after dispatch</li>
<li>International delivery: 15–20 days</li>
</ul>
<p><strong>Note for international orders:</strong> We can’t ship flammable materials across borders, so matchsticks won’t be included. You can refill with any regular-size matchsticks found at most local stores.</p>
</details>
<details>
<summary><strong>Care &amp; Safety</strong></summary>
<ul>
<li>Store at room temperature (20–25°C) - wood expands and contracts with humidity</li>
<li>Refill with any regular-size matchsticks once used up</li>
<li>Replace striker sheet when worn - peel and paste to reuse</li>
<li>Burn within sight. Keep away from combustibles, children, and pets</li>
</ul>
</details>
</div>",Maachis,Home & Garden > Household Supplies,"","Handmade, Indian Matchboxes, Maachis, Vintage",true,Title,Default Title,,,,,,,,,33.0,,-7,continue,manual,999.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Product.png?v=1755228528,1,"",false,,,,,,,,,,,,,,,,beige; red,,,,,,,,,g,,,active
makeindiademocraticagain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Make_india_democratic_again_-_Back.png?v=1756658641,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mysore-mangoes-matchbox,Mysore Mangoes,"<p><meta charset=""utf-8"">A match made in Mysore, inspired by the famous three-mangoes matchbox art. This finest local strain is ready for a change; embrace the green revolution.</p>
<div class=""product-accordion"">

<!-- Accordion Sections -->
<details>
<summary><strong>Materials</strong></summary>
<ul>
<li>Ivory-finished wood</li>
<li>Safety matches</li>
<li>Striking surface</li>
</ul>
</details>
<details open="""">
<summary><strong>Specifications</strong></summary>
<ul>
<li>Dual magnetic closures on both sides</li>
<li>Dimensions: 68mm × 48mm × 22mm</li>
<li>Includes two spare striker sheet</li>
</ul>
</details>
<details>
<summary><strong>Shipping</strong></summary>
<ul>
<li>Domestic delivery: 4–5 days after dispatch</li>
<li>International delivery: 15–20 days</li>
</ul>
<p><strong>Note for international orders:</strong> We can’t ship flammable materials across borders, so matchsticks won’t be included. You can refill with any regular-size matchsticks found at most local stores.</p>
</details>
<details>
<summary><strong>Care &amp; Safety</strong></summary>
<ul>
<li>Store at room temperature (20–25°C) - wood expands and contracts with humidity</li>
<li>Refill with any regular-size matchsticks once used up</li>
<li>Replace striker sheet when worn - peel and paste to reuse<br>
</li>
<li>Burn within sight. Keep away from combustibles, children, and pets</li>
</ul>
</details>
</div>",Maachis,Home & Garden > Smoking Accessories,Matchboxes,"Handmade, Indian Matchboxes, Maachis, Vintage",true,Title,Default Title,,,,,,,,"",33.0,,18,deny,manual,999.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Mysore-mangoes-matchbox.png?v=1750311381,1,Mysore-mangoes-matchbox,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
mysore-mangoes-matchbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Mysore-mangoes-matchbox-front.png?v=1750311430,2,Mysore-mangoes-matchbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mysore-mangoes-matchbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Mysore-mangoes-matchbox-side.png?v=1750311451,3,Mysore-mangoes-matchbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mysore-mangoes-matchbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Mysore-mangoes-matchbox-back.png?v=1750311470,4,Mysore-mangoes-matchbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mysore-mangoes,Mysore Mangoes Postcard,"<p>A match made in Mysore, inspired by the famous three-mangoes matchbox art. This finest local strain is ready for a change; embrace the green revolution.</p>
<p><!-- Accordion Sections --></p>
<div class=""product-accordion"">
<details open="""">
<summary><strong>Materials</strong></summary>
<ul>
<li>Textured Paper</li>
<li>RSW 270 GSM</li>
</ul>
</details>
<details open="""">
<summary><strong>Specifications</strong></summary>
<ul>
<li>Size: 5.5 x 4 inches</li>
</ul>
</details>
<details open="""">
<summary><strong>Shipping</strong></summary>
<ul>
<li>Domestic delivery: 4–5 days after dispatch</li>
<li>International delivery: 15–20 days</li>
</ul>
</details>
</div>",Maachis,Office Supplies > General Office Supplies > Paper Products > Post Cards,"","",true,Title,Default Title,,,,,,,,,0.0,,-1,deny,manual,250.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/2.jpg?v=1759916982,1,"",false,,,3871,,,,,,,,,,,,,multicolor,,,retro-vintage; colorful; novelty,,printed,,art,,g,,,active
mysore-mangoes-tshirt,Mysore Mangoes Tee,"<p><meta charset=""utf-8""><strong>A match made in Mysore, inspired by the famous three-mangoes matchbox art. This finest local strain is ready for a change; embrace the green revolution.</strong></p>
<p><span><meta charset=""utf-8"">
<strong><strong data-start=""214"" data-end=""226"">Product Details:</strong><br data-start=""226"" data-end=""229""></strong>– Unisex oversized fit<br data-start=""251"" data-end=""254"">– 240 GSM<br data-start=""263"" data-end=""266"">– 100% cotton<br data-start=""279"" data-end=""282"" data-is-only-node="""">– Front brand patch &amp; back DTG print</span></p>",Maachis,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Tshirts,"Indian Matchboxes, Maachis, Vintage",true,Color,black,product.metafields.shopify.color-pattern,Size,s,product.metafields.shopify.size,,,,"",200.0,shopify,0,deny,manual,1499.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0852/6096/0021/files/4_21048048-4b04-48f4-82b3-3fd8cc85a30a.png?v=1745414643,1,"",false,,,,,,,,,,,,,,,,black,,,,,,s; m; l,,,g,,,active
mysore-mangoes-tshirt,,,,,,,,,black,,,m,,,,,"",200.0,shopify,0,deny,manual,1499.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0852/6096/0021/files/5_7a219296-5d97-4413-b26c-9d7a46be16be.png?v=1745414643,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
mysore-mangoes-tshirt,,,,,,,,,black,,,l,,,,,"",200.0,shopify,0,deny,manual,1499.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Size-chart-website.png?v=1745558969,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
norockpaperjustscissor,No Rock Paper Just Scissor,"<p><meta charset=""utf-8"">Modern problems require cutting edge solutions. When in doubt, skip the rock &amp; paper, just scissor and remember - every month is pride month.<br></p>
<!-- Accordion Sections -->
<div class=""product-accordion"">
<details>
<summary><strong>Materials</strong></summary>
<ul>
<li>Ivory-finished wood</li>
<li>Safety matches</li>
<li>Striking surface</li>
</ul>
</details>
<details>
<summary><strong>Specifications</strong></summary>
<ul>
<li>Dual magnetic closures on both sides</li>
<li>Dimensions: 68mm × 48mm × 22mm</li>
<li>Includes two spare striker sheet</li>
</ul>
</details>
<details>
<summary><strong>Shipping</strong></summary>
<ul>
<li>Domestic delivery: 4–5 days after dispatch</li>
<li>International delivery: 15–20 days</li>
</ul>
<p><strong>Note for international orders:</strong> We can’t ship flammable materials across borders, so matchsticks won’t be included. You can refill with any regular-size matchsticks found at most local stores.</p>
</details>
<details>
<summary><strong>Care &amp; Safety</strong></summary>
<ul>
<li>Store at room temperature (20–25°C) - wood expands and contracts with humidity</li>
<li>Refill with any regular-size matchsticks once used up</li>
<li>Replace striker sheet when worn - peel and paste to reuse</li>
<li>Burn within sight. Keep away from combustibles, children, and pets</li>
</ul>
</details>
</div>",Maachis,Home & Garden > Household Supplies,"","Handmade, Indian Matchboxes, Maachis, Vintage",true,Title,Default Title,,,,,,,,,33.0,,-6,continue,manual,999.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Scissor-front.png?v=1756653239,1,"",false,,,,,,,,,,,,,,,,beige; red,,,,,,,,,g,,,active
norockpaperjustscissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Scissor-Back.png?v=1756653239,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patakha-guddi-gift-matchbox,Patakha Guddi,"<p><meta charset=""utf-8""><span></span><span></span><span>For the loud, bold and fearless. <br>Patakha Guddi is a state of mind</span><span></span></p>
<!-- Accordion Sections -->
<div class=""product-accordion"">
<details>
<summary><strong>Materials</strong></summary>
<ul>
<li>Ivory-finished wood</li>
<li>Safety matches</li>
<li>Striking surface</li>
</ul>
</details>
<details>
<summary><strong>Specifications</strong></summary>
<ul>
<li>Dual magnetic closures on both sides</li>
<li>Dimensions: 68mm × 48mm × 22mm</li>
<li>Includes two spare striker sheet</li>
</ul>
</details>
<details>
<summary><strong>Shipping</strong></summary>
<ul>
<li>Domestic delivery: 4–5 days after dispatch</li>
<li>International delivery: 15–20 days</li>
</ul>
<p><strong>Note for international orders:</strong> We can’t ship flammable materials across borders, so matchsticks won’t be included. You can refill with any regular-size matchsticks found at most local stores.</p>
</details>
<details>
<summary><strong>Care &amp; Safety</strong></summary>
<ul>
<li>Store at room temperature (20–25°C) - wood expands and contracts with humidity</li>
<li>Refill with any regular-size matchsticks once used up</li>
<li>Replace striker sheet when worn - peel and paste to reuse</li>
<li>Burn within sight. Keep away from combustibles, children, and pets</li>
</ul>
</details>
</div>",Maachis,Home & Garden,Matchboxes,"Handmade, Indian Matchboxes, Maachis, Vintage",true,Title,Default Title,,,,,,,,,0.0,,56,deny,manual,999.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Patakhaguddi3_f98ae4bf-7019-407c-b16a-d8de02728ac1.png?v=1759774179,1,"",false,,,536,,,,,,,,,,,,,floral,,,,,,,,,g,,,active
patakha-guddi-gift-matchbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Patakha_back.png?v=1760538884,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patakha-guddi-gift-matchbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Inside_the_box_31b08773-9a27-4192-b90a-cf2dc0406ffa.png?v=1760538884,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patakha-guddi,Patakha Guddi Postcard,"<p><span>For the loud, bold and fearless. <br>Patakha Guddi is a state of mind</span></p>
<p><!-- Accordion Sections --></p>
<div class=""product-accordion"">
<details open="""">
<summary><strong>Materials</strong></summary>
<ul>
<li>Textured Paper</li>
<li>RSW 270 GSM</li>
</ul>
</details>
<details open="""">
<summary><strong>Specifications</strong></summary>
<ul>
<li>Size: 5.5 x 4 inches</li>
</ul>
</details>
<details open="""">
<summary><strong>Shipping</strong></summary>
<ul>
<li>Domestic delivery: 4–5 days after dispatch</li>
<li>International delivery: 15–20 days</li>
</ul>
</details>
</div>",Maachis,Office Supplies > General Office Supplies > Paper Products > Post Cards,"","",true,Title,Default Title,,,,,,,,,0.0,,-1,deny,manual,250.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Patakhaguddi.png?v=1759926906,1,"",false,,,3871,,,,,,,,,,,,,multicolor,,,retro-vintage; colorful; novelty,,printed,,art,,g,,,active
postcards-set-of-6,Postcards - Set of 6,"<p data-end=""251"" data-start=""28""><meta charset=""utf-8"">This <strong data-start=""71"" data-end=""101"">set of 6 postcards</strong> (size: <strong data-start=""109"" data-end=""127"">5.5 x 4 inches</strong>) is printed on <strong data-start=""143"" data-end=""168"">270gsm textured paper</strong></p>
<p>Each postcard features a unique, vibrant design -</p>
<p><em data-end=""325"" data-start=""307"">Make Art Not War</em><br data-end=""328"" data-start=""325""><em data-end=""344"" data-start=""331"">Bullet Rani</em><br data-end=""347"" data-start=""344""><em data-end=""366"" data-start=""350"">Mysore Mangoes</em><br data-end=""369"" data-start=""366""><em data-end=""383"" data-start=""372"">Bismillah</em><br data-end=""386"" data-start=""383""><em data-end=""402"" data-start=""389"">Happy Pride</em><br data-end=""405"" data-start=""402""><em data-end=""421"" data-start=""408"">The Sundari</em></p>",Maachis,Office Supplies > General Office Supplies > Paper Products > Post Cards,"","",true,Title,Default Title,,,,,,,,,0.0,,-2,deny,manual,1499.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0852/6096/0021/files/1.jpg?v=1759916983,1,"",false,,,3871,,,,,,,,,,,,,,,,retro-vintage; colorful; novelty,,printed,,,,g,,,active
postcards-set-of-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/2.jpg?v=1759916982,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
postcards-set-of-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/3.jpg?v=1759916982,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
postcards-set-of-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/5.jpg?v=1759916984,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
postcards-set-of-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/61.jpg?v=1759916982,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
postcards-set-of-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/8.jpg?v=1759916984,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
postcards-set-of-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/9.jpg?v=1759916983,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maachis-x-sakre,Sakre X Maachis,"<p><meta charset=""utf-8"">It’s not just flipping beats - it’s flipping time itself. <a href=""https://www.instagram.com/sakremusic/"">@sakremusic</a> spins the retro sounds of South Indian cinema into a soundscape that feels both nostalgic and futuristic. No Raja was harmed while flipping these tracks.</p>
<div class=""product-accordion"">

<!-- Accordion Sections -->
<details>
<summary><strong>Materials</strong></summary>
<ul>
<li>Ivory-finished wood</li>
<li>Safety matches</li>
<li>Striking surface</li>
</ul>
</details>
<details open="""">
<summary><strong>Specifications</strong></summary>
<ul>
<li>Dual magnetic closures on both sides</li>
<li>Dimensions: 68mm × 48mm × 22mm</li>
<li>Includes two spare striker sheet</li>
</ul>
</details>
<details>
<summary><strong>Shipping</strong></summary>
<ul>
<li>Domestic delivery: 4–5 days after dispatch</li>
<li>International delivery: 15–20 days</li>
</ul>
<p><strong>Note for international orders:</strong> We can’t ship flammable materials across borders, so matchsticks won’t be included. You can refill with any regular-size matchsticks found at most local stores.</p>
</details>
<details>
<summary><strong>Care &amp; Safety</strong></summary>
<ul>
<li>Store at room temperature (20–25°C) - wood expands and contracts with humidity</li>
<li>Refill with any regular-size matchsticks once used up</li>
<li>Replace striker sheet when worn - peel and paste to reuse<br>
</li>
<li>Burn within sight. Keep away from combustibles, children, and pets</li>
</ul>
</details>
</div>",Maachis,Home & Garden,Matchboxes,"Handmade, Indian Matchboxes, Maachis, Vintage",true,Color,red,product.metafields.shopify.color-pattern,,,,,,,"",30.0,,-15,deny,manual,999.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Handcrafted-matchboxes-sakre.png?v=1750310682,1,Raja-has-no-friends,false,,,,,,,,,,,,,,,,red; yellow,,,,,,,,,g,,,active
maachis-x-sakre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/SakreXMaachis-Front.png?v=1750310750,2,Raja-has-no-friends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maachis-x-sakre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/SakreXMaachis-Side.png?v=1750310812,3,Raja-has-no-friends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maachis-x-sakre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/SakreXMaachis-back.png?v=1750310886,4,Raja-has-no-friends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
